date,T2M,T2M_MAX,T2M_MIN,RH2M,PRECIPITATION,WS2M,WS2M_MAX,WS2M_MIN,WD2M,GWETTOP,GWETROOT,GWETPROF
2014-01-01,21.01,31.08,12.14,19.11,0.0,2.4,4.42,1.45,53.8,0.22,0.32,0.35
2014-01-02,20.94,29.07,14.49,16.45,0.0,2.87,4.83,1.71,54.5,0.22,0.32,0.35
2014-01-03,20.85,29.59,13.42,17.41,0.0,3.49,6.56,2.07,51.7,0.22,0.32,0.35
2014-01-04,20.65,30.04,13.01,20.27,0.0,3.47,6.73,1.86,58.6,0.22,0.32,0.35
2014-01-05,20.5,29.6,12.83,22.66,0.0,3.36,5.56,2.03,62.2,0.22,0.32,0.35
2014-01-06,20.24,28.98,13.42,24.72,0.0,3.54,6.02,2.13,64.6,0.22,0.32,0.35
2014-01-07,20.69,29.86,12.92,24.02,0.0,3.42,6.3,2.03,68.4,0.22,0.32,0.35
2014-01-08,20.82,30.19,12.9,25.94,0.0,3.47,6.32,2.1,62.6,0.22,0.32,0.35
2014-01-09,20.64,30.13,12.52,23.52,0.0,3.43,6.04,2.14,65.5,0.22,0.32,0.35
2014-01-10,20.47,29.5,13.27,23.65,0.0,3.98,6.65,2.48,63.6,0.22,0.32,0.35
2014-01-11,19.94,28.08,13.01,25.44,0.0,4.07,6.32,2.46,63.7,0.22,0.32,0.35
2014-01-12,20.78,30.32,13.74,24.5,0.0,3.51,5.41,1.84,66.1,0.22,0.32,0.35
2014-01-13,20.35,30.61,12.46,23.09,0.0,2.87,4.8,1.78,54.7,0.22,0.32,0.35
2014-01-14,20.76,31.79,11.48,19.27,0.0,2.07,3.9,0.23,60.0,0.22,0.32,0.35
2014-01-15,22.13,32.85,12.75,18.0,0.0,1.8,3.25,0.98,76.3,0.21,0.32,0.35
2014-01-16,23.11,33.47,14.11,20.06,0.0,2.52,4.22,1.47,77.4,0.21,0.32,0.35
2014-01-17,23.06,33.56,14.05,21.3,0.0,3.0,5.37,1.73,79.7,0.21,0.32,0.35
2014-01-18,23.67,33.77,14.84,21.48,0.0,3.3,5.51,2.06,70.6,0.2,0.32,0.35
2014-01-19,24.83,34.95,16.35,19.73,0.0,2.95,4.44,1.64,76.8,0.2,0.32,0.34
2014-01-20,24.24,34.42,15.32,17.9,0.0,2.89,4.52,1.8,68.3,0.2,0.32,0.34
2014-01-21,23.35,33.67,15.19,14.64,0.0,2.59,4.06,1.58,62.0,0.2,0.32,0.34
2014-01-22,22.56,33.69,13.08,14.68,0.0,2.6,5.39,1.27,73.0,0.19,0.32,0.34
2014-01-23,23.35,33.85,14.72,15.31,0.0,2.02,3.61,1.23,73.7,0.19,0.32,0.34
2014-01-24,24.14,34.07,15.76,17.45,0.0,2.17,4.04,1.3,63.6,0.19,0.32,0.34
2014-01-25,24.17,33.25,15.44,17.21,0.0,2.16,3.96,1.12,44.8,0.19,0.32,0.34
2014-01-26,25.1,34.92,16.83,12.3,0.0,2.3,3.33,1.17,37.8,0.19,0.32,0.34
2014-01-27,25.14,34.39,16.48,20.02,0.0,2.44,4.17,1.39,41.8,0.19,0.31,0.34
2014-01-28,23.62,32.45,15.44,22.09,0.0,2.66,5.03,1.54,78.9,0.19,0.31,0.34
2014-01-29,25.39,33.91,17.92,21.43,0.0,2.77,4.76,1.45,97.8,0.19,0.31,0.34
2014-01-30,26.98,35.18,20.77,27.27,0.0,2.07,4.04,0.27,124.3,0.19,0.31,0.34
2014-01-31,27.15,33.77,21.18,54.71,0.07,1.74,4.31,0.5,306.6,0.2,0.31,0.34
2014-02-01,26.08,32.57,20.86,42.88,0.3,3.45,5.02,1.69,339.6,0.21,0.32,0.34
2014-02-02,24.02,31.35,17.69,24.62,0.0,3.38,5.88,2.09,36.5,0.21,0.32,0.34
2014-02-03,23.54,32.13,16.1,21.33,0.0,2.91,4.58,2.1,59.7,0.2,0.32,0.34
2014-02-04,23.58,32.39,15.76,20.23,0.0,3.79,5.44,2.39,55.1,0.2,0.31,0.34
2014-02-05,23.7,32.1,16.21,19.21,0.0,4.45,6.96,2.65,50.3,0.2,0.31,0.34
2014-02-06,24.23,33.02,16.59,23.38,0.0,4.31,7.38,2.38,51.3,0.19,0.31,0.34
2014-02-07,24.2,32.39,17.78,19.74,0.0,3.58,6.14,2.18,57.5,0.19,0.31,0.34
2014-02-08,23.5,32.44,15.76,18.33,0.0,3.38,6.13,2.11,56.7,0.19,0.31,0.34
2014-02-09,24.06,32.86,16.08,16.64,0.0,3.87,6.09,2.43,51.1,0.19,0.31,0.34
2014-02-10,24.32,33.43,16.1,19.21,0.0,3.27,5.77,1.85,62.0,0.19,0.31,0.34
2014-02-11,24.18,32.96,16.26,18.87,0.0,3.62,6.63,2.2,60.6,0.19,0.31,0.34
2014-02-12,24.16,33.25,15.8,17.24,0.0,3.71,6.28,2.04,56.2,0.18,0.31,0.34
2014-02-13,23.11,32.3,14.93,13.18,0.0,4.1,6.64,2.34,54.1,0.18,0.31,0.34
2014-02-14,21.68,30.88,13.68,12.85,0.0,4.53,7.94,2.46,59.9,0.18,0.31,0.34
2014-02-15,21.54,30.75,13.84,14.72,0.0,4.08,7.36,2.13,66.3,0.18,0.31,0.34
2014-02-16,22.07,31.62,13.84,13.32,0.0,3.32,5.77,1.92,68.2,0.18,0.31,0.34
2014-02-17,23.13,32.85,15.15,11.56,0.0,3.46,5.76,2.03,70.5,0.18,0.31,0.34
2014-02-18,23.71,34.02,14.87,13.78,0.0,3.2,5.94,1.86,70.2,0.18,0.31,0.34
2014-02-19,24.35,34.85,14.82,15.73,0.0,2.29,4.75,1.43,75.1,0.18,0.31,0.34
2014-02-20,25.85,35.91,16.93,16.08,0.0,1.85,3.41,1.31,84.8,0.17,0.31,0.34
2014-02-21,27.23,37.13,19.09,16.15,0.0,2.29,3.44,1.14,76.1,0.17,0.31,0.34
2014-02-22,26.17,36.48,16.79,15.75,0.0,3.03,5.89,1.87,64.8,0.17,0.31,0.33
2014-02-23,26.1,36.37,17.03,15.04,0.0,3.39,5.12,2.2,57.8,0.17,0.31,0.33
2014-02-24,26.13,35.63,16.9,15.24,0.0,3.29,5.21,1.88,54.3,0.17,0.31,0.33
2014-02-25,26.38,34.75,18.9,16.88,0.0,3.08,5.76,1.82,56.2,0.17,0.31,0.33
2014-02-26,26.23,35.36,17.88,17.81,0.0,2.94,5.65,1.82,57.7,0.17,0.31,0.33
2014-02-27,27.21,36.57,18.71,17.36,0.0,2.15,3.95,1.33,63.3,0.17,0.31,0.33
2014-02-28,28.67,36.14,20.57,20.29,0.32,1.43,2.73,0.27,244.4,0.17,0.31,0.33
2014-03-01,26.8,32.35,22.24,24.42,0.88,1.86,3.37,1.09,350.8,0.2,0.31,0.33
2014-03-02,27.03,33.33,20.47,24.82,0.05,0.97,1.82,0.21,44.9,0.21,0.31,0.33
2014-03-03,27.74,34.42,21.65,32.54,0.21,1.43,2.98,0.28,77.2,0.2,0.31,0.33
2014-03-04,27.39,34.7,20.56,34.06,0.03,2.42,4.59,1.17,81.3,0.2,0.31,0.33
2014-03-05,29.0,36.07,20.95,27.35,0.36,1.39,2.99,0.31,115.0,0.2,0.31,0.33
2014-03-06,30.05,35.53,24.39,34.44,0.2,0.66,1.54,0.18,189.5,0.2,0.31,0.33
2014-03-07,29.37,35.95,24.24,34.73,1.02,1.81,2.64,1.23,10.8,0.22,0.31,0.33
2014-03-08,28.39,37.46,20.65,18.98,0.0,1.97,3.3,1.11,27.9,0.22,0.31,0.33
2014-03-09,26.43,35.69,17.32,13.85,0.0,3.11,5.85,1.65,47.9,0.2,0.31,0.33
2014-03-10,25.45,33.9,17.23,13.73,0.0,3.38,5.51,1.56,59.3,0.19,0.31,0.33
2014-03-11,25.21,34.55,15.89,12.26,0.0,2.91,4.87,1.38,59.1,0.18,0.31,0.33
2014-03-12,25.55,35.23,16.12,11.93,0.0,3.54,6.29,1.99,60.8,0.17,0.31,0.33
2014-03-13,26.24,35.86,16.93,13.15,0.0,3.14,6.24,1.83,68.7,0.17,0.31,0.33
2014-03-14,27.82,37.44,18.7,17.08,0.0,2.91,5.67,1.67,67.7,0.17,0.31,0.33
2014-03-15,29.58,38.2,21.36,23.11,0.0,2.74,5.43,0.56,69.2,0.16,0.31,0.33
2014-03-16,30.21,39.26,21.45,21.16,0.0,3.06,5.71,1.66,85.0,0.16,0.31,0.33
2014-03-17,30.15,38.82,21.55,25.23,0.06,2.29,4.13,1.06,115.2,0.16,0.31,0.33
2014-03-18,30.03,37.89,23.21,29.34,0.42,2.12,4.12,0.47,70.4,0.17,0.31,0.33
2014-03-19,28.79,37.8,20.08,17.71,0.0,3.03,5.31,1.22,71.6,0.17,0.31,0.33
2014-03-20,28.61,37.29,21.06,17.94,0.0,3.68,6.51,1.89,64.4,0.17,0.31,0.33
2014-03-21,28.61,37.6,20.59,16.46,0.0,2.61,5.2,1.21,79.0,0.17,0.31,0.33
2014-03-22,29.68,38.42,20.49,16.48,0.0,1.51,2.56,0.96,93.3,0.16,0.31,0.33
2014-03-23,29.62,35.27,24.05,39.56,0.0,2.87,5.24,1.2,236.4,0.16,0.31,0.33
2014-03-24,30.92,37.21,25.17,35.51,0.0,2.31,4.15,0.75,292.3,0.17,0.31,0.33
2014-03-25,31.02,39.11,23.36,23.39,0.0,2.46,4.48,0.81,296.1,0.17,0.31,0.33
2014-03-26,29.96,36.85,21.81,21.12,0.0,2.05,4.22,0.26,272.8,0.16,0.31,0.33
2014-03-27,28.93,35.08,22.97,37.61,0.0,3.11,5.55,1.63,238.4,0.16,0.31,0.33
2014-03-28,31.03,38.63,24.06,39.45,0.0,2.59,4.35,0.91,217.3,0.17,0.31,0.33
2014-03-29,31.21,37.89,23.74,41.36,0.0,3.56,5.87,1.59,243.2,0.17,0.31,0.33
2014-03-30,31.79,39.12,23.73,24.78,0.0,1.69,3.43,0.83,329.7,0.17,0.31,0.33
2014-03-31,31.41,38.62,24.61,29.76,0.0,2.52,3.53,0.85,290.2,0.16,0.31,0.33
2014-04-01,30.38,39.29,22.09,16.37,0.0,2.1,3.55,0.84,25.0,0.16,0.31,0.33
2014-04-02,29.78,37.96,20.91,12.78,0.0,2.37,4.18,1.19,62.4,0.15,0.31,0.33
2014-04-03,30.99,39.5,23.33,15.66,0.0,2.73,4.34,1.38,62.8,0.15,0.31,0.33
2014-04-04,30.56,39.87,21.65,12.79,0.0,3.26,5.14,1.59,51.9,0.15,0.31,0.33
2014-04-05,30.66,39.53,21.58,13.73,0.0,2.7,4.16,1.5,50.6,0.14,0.31,0.33
2014-04-06,30.38,36.54,23.31,34.5,0.25,2.52,5.21,0.96,216.9,0.15,0.31,0.33
