date,T2M,T2M_MAX,T2M_MIN,RH2M,PRECIPITATION,WS2M,WS2M_MAX,WS2M_MIN,WD2M,GWETTOP,GWETROOT,GWETPROF
2014-01-01,21.87,31.83,13.0,16.66,0.0,2.18,3.78,1.28,43.7,0.16,0.39,0.4
2014-01-02,21.37,30.16,14.25,15.01,0.0,2.61,4.29,1.52,39.3,0.16,0.39,0.4
2014-01-03,21.42,30.65,13.83,16.15,0.0,3.19,5.86,1.79,46.0,0.16,0.39,0.4
2014-01-04,20.96,30.64,12.94,19.03,0.0,3.15,6.07,1.91,52.6,0.16,0.39,0.4
2014-01-05,21.06,30.74,12.93,20.75,0.0,3.15,5.08,1.79,59.1,0.16,0.39,0.4
2014-01-06,20.57,29.59,13.06,23.04,0.0,3.15,5.41,1.88,60.8,0.16,0.39,0.4
2014-01-07,21.26,30.48,13.38,20.98,0.0,3.31,5.83,1.87,64.9,0.16,0.39,0.4
2014-01-08,21.26,30.7,13.13,23.31,0.0,3.31,5.98,1.98,58.4,0.16,0.39,0.4
2014-01-09,21.04,30.85,12.56,21.3,0.0,3.21,5.71,2.05,62.4,0.16,0.39,0.4
2014-01-10,20.73,30.23,13.0,22.13,0.0,3.65,5.8,2.25,60.6,0.16,0.39,0.4
2014-01-11,20.53,29.3,12.9,24.03,0.0,3.7,5.6,2.06,63.0,0.16,0.39,0.4
2014-01-12,21.17,31.12,13.37,23.18,0.0,3.12,4.9,1.95,61.7,0.16,0.39,0.4
2014-01-13,21.01,31.7,12.33,21.98,0.0,2.49,3.92,1.57,43.5,0.16,0.39,0.4
2014-01-14,21.61,33.06,12.23,16.76,0.0,1.72,3.47,0.14,46.6,0.15,0.39,0.4
2014-01-15,23.25,33.64,14.34,14.58,0.0,1.6,3.13,0.94,73.1,0.15,0.39,0.39
2014-01-16,24.3,34.1,16.28,17.75,0.0,2.34,3.65,1.27,79.4,0.15,0.39,0.39
2014-01-17,23.82,34.04,14.75,18.09,0.0,2.76,5.23,1.42,81.3,0.15,0.39,0.39
2014-01-18,24.31,34.24,15.29,19.29,0.0,3.18,4.92,1.74,68.4,0.14,0.39,0.39
2014-01-19,25.5,35.38,16.7,15.85,0.0,3.02,4.74,1.61,75.3,0.14,0.39,0.39
2014-01-20,24.7,34.95,15.76,14.92,0.0,2.59,4.0,1.63,63.9,0.14,0.39,0.39
2014-01-21,24.19,34.81,15.14,12.02,0.0,2.46,3.9,1.31,64.5,0.14,0.39,0.39
2014-01-22,23.01,34.17,13.16,11.82,0.0,2.4,4.91,1.43,72.1,0.14,0.39,0.39
2014-01-23,24.99,34.56,18.49,11.86,0.0,1.61,2.83,0.3,74.6,0.13,0.39,0.39
2014-01-24,25.17,34.6,18.26,14.01,0.0,2.05,3.63,0.83,59.9,0.13,0.39,0.39
2014-01-25,24.85,34.26,16.74,15.81,0.0,2.01,3.57,1.17,40.6,0.13,0.39,0.39
2014-01-26,26.14,36.01,18.56,11.64,0.0,1.94,3.25,0.74,27.7,0.13,0.39,0.39
2014-01-27,25.59,34.75,18.44,15.24,0.0,2.14,3.9,1.06,41.2,0.13,0.39,0.39
2014-01-28,24.37,33.23,16.1,20.2,0.01,2.39,4.42,1.23,82.7,0.13,0.39,0.39
2014-01-29,25.82,34.1,19.69,17.4,0.0,2.59,4.49,1.19,95.1,0.13,0.39,0.39
2014-01-30,26.84,35.87,19.32,18.29,0.0,2.25,4.56,0.99,122.0,0.13,0.39,0.39
2014-01-31,27.24,34.4,20.12,49.47,0.09,1.76,4.66,0.68,326.2,0.13,0.39,0.39
2014-02-01,26.5,33.75,20.27,43.53,0.13,3.25,4.62,1.38,343.9,0.13,0.39,0.39
2014-02-02,24.57,31.96,18.14,27.5,0.0,3.23,5.51,1.84,29.7,0.13,0.39,0.39
2014-02-03,23.98,32.96,16.25,19.61,0.0,2.69,3.95,1.52,50.0,0.13,0.39,0.39
2014-02-04,23.92,32.92,15.94,18.58,0.0,3.3,4.83,1.8,47.7,0.13,0.39,0.39
2014-02-05,23.74,32.35,16.02,18.41,0.0,4.09,6.61,2.09,47.0,0.13,0.38,0.39
2014-02-06,24.36,33.11,16.3,20.73,0.0,4.07,7.2,2.38,47.6,0.13,0.38,0.39
2014-02-07,24.57,32.81,17.81,19.15,0.0,3.26,5.62,2.06,55.1,0.13,0.38,0.39
2014-02-08,23.81,32.78,15.7,16.64,0.0,3.14,5.77,1.66,50.3,0.13,0.38,0.39
2014-02-09,24.35,33.29,16.28,15.35,0.0,3.61,5.42,2.04,45.3,0.13,0.38,0.39
2014-02-10,24.59,34.04,16.14,17.42,0.0,3.09,5.78,1.87,60.2,0.13,0.38,0.39
2014-02-11,24.54,33.53,16.09,17.24,0.0,3.42,6.32,1.74,56.1,0.12,0.38,0.39
2014-02-12,24.37,33.64,15.86,15.68,0.0,3.39,6.0,1.58,51.9,0.12,0.38,0.39
2014-02-13,23.31,32.59,14.61,12.26,0.0,3.65,6.53,2.02,50.9,0.12,0.38,0.39
2014-02-14,22.2,31.27,14.2,10.86,0.0,4.39,7.61,2.38,55.7,0.12,0.38,0.39
2014-02-15,22.14,31.41,14.02,12.86,0.0,3.83,6.85,2.04,63.8,0.12,0.38,0.39
2014-02-16,23.25,32.62,14.56,10.53,0.0,3.35,5.26,1.97,66.0,0.12,0.38,0.39
2014-02-17,24.64,33.9,17.55,8.74,0.0,3.57,5.64,2.09,69.9,0.12,0.38,0.39
2014-02-18,24.43,34.71,15.88,11.08,0.0,3.13,5.85,1.85,69.7,0.11,0.38,0.39
2014-02-19,24.98,35.69,15.22,12.25,0.0,2.22,4.35,1.37,69.6,0.11,0.38,0.39
2014-02-20,26.86,36.44,19.01,12.41,0.0,1.83,3.11,1.05,90.3,0.11,0.38,0.39
2014-02-21,27.97,37.5,20.47,14.46,0.0,2.31,3.94,1.2,84.2,0.11,0.38,0.39
2014-02-22,26.49,36.98,17.06,13.03,0.0,2.88,5.51,1.53,62.3,0.11,0.38,0.39
2014-02-23,26.13,36.54,16.47,12.78,0.0,2.99,4.62,1.76,48.0,0.11,0.38,0.39
2014-02-24,26.35,35.8,17.41,13.23,0.0,2.89,4.67,1.43,48.1,0.11,0.38,0.39
2014-02-25,26.73,35.61,18.76,15.61,0.0,2.82,4.93,1.61,53.7,0.11,0.38,0.39
2014-02-26,26.69,35.67,17.94,16.67,0.0,2.82,5.31,1.39,51.3,0.11,0.38,0.39
2014-02-27,27.57,36.96,19.08,15.55,0.0,2.09,3.86,1.14,64.1,0.11,0.38,0.39
2014-02-28,27.98,34.86,20.54,28.14,0.31,1.92,3.45,0.24,243.9,0.11,0.38,0.39
