date,T2M,T2M_MAX,T2M_MIN,RH2M,PRECIPITATION,WS2M,WS2M_MAX,WS2M_MIN,WD2M,GWETTOP,GWETROOT,GWETPROF
2014-01-01,20.32,31.19,10.94,16.86,0.0,1.69,3.27,0.91,54.2,0.18,0.25,0.27
2014-01-02,20.6,29.82,13.36,14.18,0.0,2.03,3.54,1.2,55.8,0.18,0.25,0.27
2014-01-03,20.45,29.64,13.1,15.7,0.0,2.49,4.69,1.39,53.2,0.17,0.25,0.27
2014-01-04,20.43,30.31,12.67,18.62,0.0,2.45,4.81,1.35,60.4,0.17,0.25,0.27
2014-01-05,20.17,29.24,12.51,21.77,0.0,2.3,3.99,1.3,63.4,0.18,0.25,0.27
2014-01-06,20.02,28.74,13.32,23.6,0.0,2.46,4.25,1.42,66.2,0.18,0.25,0.27
2014-01-07,20.53,30.01,13.09,23.21,0.0,2.39,4.62,1.26,70.3,0.18,0.25,0.27
2014-01-08,20.8,30.5,12.63,24.38,0.0,2.45,4.52,1.44,63.0,0.18,0.25,0.27
2014-01-09,20.57,30.27,12.46,21.57,0.0,2.43,4.32,1.37,66.8,0.18,0.25,0.27
2014-01-10,20.24,29.39,13.09,22.53,0.0,2.77,4.78,1.67,65.4,0.18,0.25,0.27
2014-01-11,19.35,27.19,12.77,24.14,0.0,2.78,4.54,1.43,64.7,0.18,0.25,0.27
2014-01-12,20.6,29.81,14.14,22.47,0.0,2.55,3.9,1.27,67.3,0.18,0.25,0.27
2014-01-13,19.93,30.41,12.42,20.63,0.0,2.01,3.52,1.2,58.6,0.18,0.25,0.27
2014-01-14,19.81,31.62,9.93,16.91,0.0,1.45,2.88,0.1,64.5,0.18,0.25,0.27
2014-01-15,21.6,33.1,11.59,16.35,0.0,1.35,2.39,0.8,83.7,0.17,0.25,0.26
2014-01-16,22.41,33.6,12.87,18.02,0.0,1.78,3.19,1.04,78.8,0.17,0.25,0.26
2014-01-17,22.62,33.62,13.28,19.52,0.0,2.14,3.98,1.04,80.9,0.17,0.25,0.26
2014-01-18,23.22,33.72,14.2,19.54,0.0,2.26,3.98,1.33,73.5,0.17,0.25,0.26
2014-01-19,24.15,34.92,15.15,18.73,0.0,1.95,3.13,1.02,78.7,0.17,0.25,0.26
2014-01-20,23.87,34.53,14.74,15.85,0.0,2.04,3.32,1.15,71.0,0.17,0.24,0.26
2014-01-21,22.72,33.41,14.41,12.92,0.0,1.79,3.0,1.03,64.8,0.16,0.24,0.26
2014-01-22,22.17,33.86,12.61,12.94,0.0,1.84,3.89,0.8,74.2,0.16,0.24,0.26
2014-01-23,22.28,33.72,12.74,13.59,0.0,1.6,3.24,0.94,76.8,0.16,0.24,0.26
2014-01-24,23.33,34.38,14.2,15.71,0.0,1.52,3.03,0.97,64.6,0.16,0.24,0.26
2014-01-25,23.59,34.03,14.35,14.32,0.0,1.55,2.92,0.73,44.9,0.16,0.24,0.26
2014-01-26,24.35,34.95,15.76,11.77,0.0,1.65,2.61,0.85,41.3,0.16,0.24,0.26
2014-01-27,25.02,34.84,16.02,19.83,0.0,1.78,3.06,1.0,39.2,0.16,0.24,0.26
2014-01-28,22.94,32.46,14.73,20.16,0.0,1.87,3.71,0.84,80.5,0.16,0.24,0.26
2014-01-29,24.63,33.99,16.54,20.59,0.0,2.0,3.71,1.02,100.2,0.16,0.24,0.26
2014-01-30,26.1,35.35,18.99,25.57,0.0,1.69,3.25,0.38,131.5,0.16,0.24,0.26
2014-01-31,27.4,34.77,20.69,51.29,0.05,1.35,2.84,0.4,299.9,0.17,0.24,0.26
2014-02-01,25.63,32.01,20.95,41.38,0.33,2.42,3.84,1.2,333.8,0.18,0.24,0.26
2014-02-02,23.65,31.38,17.28,21.47,0.0,2.42,4.19,1.38,36.0,0.18,0.24,0.26
2014-02-03,23.12,32.02,15.48,18.86,0.0,2.05,3.35,1.31,61.7,0.17,0.24,0.26
2014-02-04,23.31,32.61,15.2,18.47,0.0,2.64,3.93,1.52,55.7,0.17,0.24,0.26
2014-02-05,23.73,32.46,16.01,17.61,0.0,3.14,5.07,1.81,49.6,0.16,0.24,0.26
2014-02-06,24.34,33.46,16.74,22.67,0.0,3.02,5.24,1.6,50.8,0.16,0.24,0.26
2014-02-07,23.85,32.59,16.9,17.58,0.0,2.47,4.44,1.32,58.7,0.16,0.24,0.25
2014-02-08,23.28,32.79,15.46,16.76,0.0,2.35,4.37,1.34,59.0,0.16,0.24,0.25
2014-02-09,23.89,33.05,15.84,15.06,0.0,2.7,4.48,1.69,53.4,0.16,0.24,0.25
2014-02-10,24.13,33.63,15.82,17.92,0.0,2.28,4.18,1.19,63.7,0.16,0.24,0.25
2014-02-11,24.09,33.12,16.6,17.36,0.0,2.52,4.63,1.36,63.2,0.16,0.24,0.25
2014-02-12,24.04,33.59,15.51,15.24,0.0,2.66,4.46,1.4,56.6,0.16,0.24,0.25
2014-02-13,22.88,32.62,14.66,11.43,0.0,2.92,4.83,1.64,55.2,0.15,0.24,0.25
