date,T2M,T2M_MAX,T2M_MIN,RH2M,PRECIPITATION,WS2M,WS2M_MAX,WS2M_MIN,WD2M,GWETTOP,GWETROOT,GWETPROF
2014-01-01,20.72,31.69,11.5,19.11,0.0,1.44,2.54,0.84,40.5,0.19,0.29,0.31
2014-01-02,20.62,29.79,13.11,16.65,0.0,1.68,2.88,0.98,39.8,0.19,0.29,0.31
2014-01-03,21.0,30.33,13.25,17.59,0.0,2.1,3.96,1.29,43.8,0.19,0.29,0.31
2014-01-04,20.65,30.65,12.68,20.47,0.0,2.06,4.1,1.23,51.3,0.19,0.29,0.31
2014-01-05,20.51,30.27,12.39,22.75,0.0,2.04,3.38,1.12,55.9,0.19,0.29,0.31
2014-01-06,20.16,29.49,12.98,24.94,0.0,2.05,3.61,1.27,59.1,0.19,0.29,0.31
2014-01-07,20.66,30.39,12.44,23.79,0.0,2.11,3.89,1.18,64.2,0.19,0.29,0.31
2014-01-08,20.89,30.75,12.54,25.37,0.0,2.16,3.95,1.21,56.6,0.19,0.29,0.31
2014-01-09,20.6,30.65,12.03,22.83,0.0,2.1,3.8,1.32,60.1,0.19,0.29,0.31
2014-01-10,20.52,29.95,12.92,23.37,0.0,2.4,3.94,1.38,58.2,0.19,0.29,0.31
2014-01-11,20.05,28.53,12.91,24.84,0.0,2.37,3.79,1.33,59.2,0.19,0.29,0.31
2014-01-12,21.0,30.73,14.34,23.82,0.0,2.12,3.21,1.19,59.0,0.19,0.29,0.31
2014-01-13,20.32,30.95,12.27,22.41,0.0,1.72,2.77,1.11,43.9,0.19,0.29,0.31
2014-01-14,20.58,32.73,10.73,18.29,0.0,1.28,2.2,0.33,44.8,0.19,0.29,0.31
2014-01-15,22.19,33.64,12.62,17.08,0.0,1.18,2.03,0.75,73.7,0.18,0.29,0.31
2014-01-16,23.27,34.16,14.68,18.85,0.0,1.61,2.66,0.93,75.2,0.18,0.29,0.3
2014-01-17,22.91,34.15,13.18,20.46,0.0,1.82,3.43,0.89,77.8,0.18,0.29,0.3
2014-01-18,23.66,34.27,14.57,20.63,0.0,2.06,3.26,1.12,66.6,0.18,0.29,0.3
2014-01-19,24.69,35.32,15.6,18.21,0.0,1.94,2.96,1.06,72.7,0.17,0.28,0.3
2014-01-20,24.09,34.98,14.9,16.37,0.0,1.77,2.74,1.07,62.8,0.17,0.28,0.3
2014-01-21,23.31,34.59,14.05,13.97,0.0,1.66,2.58,0.95,59.5,0.17,0.28,0.3
2014-01-22,22.31,34.37,12.18,14.11,0.0,1.61,3.34,0.88,69.6,0.17,0.28,0.3
2014-01-23,23.12,34.3,15.06,14.38,0.0,1.21,2.02,0.56,66.8,0.17,0.28,0.3
2014-01-24,24.02,34.81,16.08,16.37,0.0,1.43,2.52,0.74,55.4,0.17,0.28,0.3
2014-01-25,24.28,34.75,15.13,17.01,0.0,1.39,2.46,0.81,35.4,0.17,0.28,0.3
2014-01-26,25.23,35.72,17.47,12.55,0.0,1.39,2.33,0.42,23.5,0.16,0.28,0.3
2014-01-27,25.13,35.03,17.46,18.84,0.0,1.5,2.52,0.7,35.0,0.16,0.28,0.3
2014-01-28,23.41,32.99,15.04,21.33,0.0,1.63,3.1,0.89,76.0,0.16,0.28,0.3
2014-01-29,24.76,34.1,18.04,19.54,0.0,1.79,3.24,0.89,91.2,0.16,0.28,0.3
2014-01-30,26.19,36.32,17.55,20.71,0.0,1.45,2.86,0.54,116.6,0.16,0.28,0.3
2014-01-31,27.2,35.35,19.9,48.72,0.06,1.14,3.25,0.29,325.0,0.17,0.28,0.3
2014-02-01,26.53,34.13,20.27,42.24,0.1,2.27,3.39,0.87,339.3,0.17,0.28,0.3
2014-02-02,24.2,31.84,17.98,25.35,0.0,2.27,3.82,1.48,27.1,0.17,0.28,0.3
2014-02-03,23.33,32.54,15.58,20.27,0.0,1.81,2.81,1.05,47.7,0.17,0.28,0.3
2014-02-04,23.52,33.0,15.34,19.57,0.0,2.25,3.36,1.22,46.6,0.17,0.28,0.3
2014-02-05,23.68,32.54,15.69,18.85,0.0,2.75,4.51,1.33,45.0,0.16,0.28,0.3
2014-02-06,24.24,33.46,16.28,22.36,0.0,2.68,4.85,1.5,45.7,0.16,0.28,0.3
2014-02-07,24.09,32.77,17.51,19.92,0.0,2.16,3.88,1.26,52.1,0.16,0.28,0.3
2014-02-08,23.41,32.92,15.19,17.69,0.0,2.11,3.91,1.09,49.2,0.16,0.28,0.3
2014-02-09,23.98,33.24,15.76,16.18,0.0,2.41,3.8,1.36,44.2,0.16,0.28,0.3
2014-02-10,24.14,34.13,15.48,18.71,0.0,2.01,3.73,1.14,58.0,0.16,0.28,0.3
2014-02-11,24.21,33.61,15.78,17.96,0.0,2.31,4.29,1.27,55.0,0.16,0.28,0.3
2014-02-12,24.23,33.88,15.37,16.31,0.0,2.32,4.05,1.03,50.0,0.15,0.28,0.3
2014-02-13,23.14,32.91,14.04,12.51,0.0,2.56,4.36,1.25,49.2,0.15,0.28,0.3
2014-02-14,21.66,31.33,13.24,12.46,0.0,2.86,5.17,1.44,55.2,0.15,0.28,0.3
2014-02-15,21.63,31.41,13.44,14.18,0.0,2.54,4.67,1.39,62.5,0.15,0.28,0.29
2014-02-16,22.28,32.37,13.66,12.31,0.0,2.19,3.59,1.24,62.7,0.15,0.28,0.29
2014-02-17,23.37,33.67,15.38,10.71,0.0,2.24,3.77,1.29,67.7,0.15,0.28,0.29
2014-02-18,23.62,34.69,14.37,13.04,0.0,2.03,3.84,1.31,66.8,0.15,0.28,0.29
2014-02-19,24.2,35.58,14.29,15.09,0.0,1.52,3.11,0.98,68.6,0.15,0.28,0.29
2014-02-20,25.74,36.55,17.13,14.68,0.0,1.27,2.15,0.8,85.0,0.15,0.28,0.29
2014-02-21,27.37,37.64,20.17,14.66,0.0,1.54,2.47,0.74,76.2,0.14,0.28,0.29
2014-02-22,26.06,37.2,16.22,14.52,0.0,1.95,3.71,1.01,59.3,0.14,0.28,0.29
2014-02-23,26.1,36.74,16.99,13.44,0.0,2.15,3.26,1.47,48.1,0.14,0.28,0.29
2014-02-24,26.18,36.06,16.86,14.53,0.0,2.12,3.3,1.13,47.0,0.14,0.28,0.29
2014-02-25,26.33,35.6,18.34,17.06,0.0,1.94,3.69,1.11,51.1,0.14,0.28,0.29
2014-02-26,26.17,36.0,17.3,17.69,0.0,1.92,3.69,1.01,49.9,0.14,0.28,0.29
2014-02-27,27.15,37.31,18.46,16.78,0.0,1.44,2.63,0.84,55.0,0.14,0.28,0.29
2014-02-28,28.44,36.53,19.52,20.0,0.03,0.94,2.0,0.15,247.5,0.14,0.28,0.29
2014-03-01,26.34,32.56,21.09,26.05,0.66,1.47,2.12,0.8,331.1,0.16,0.28,0.29
2014-03-02,26.8,33.99,20.0,24.65,0.12,1.17,2.31,0.3,75.6,0.17,0.28,0.29
2014-03-03,27.85,35.15,21.29,34.1,0.13,1.42,2.29,0.72,108.0,0.17,0.28,0.29
2014-03-04,27.33,35.5,20.0,33.85,0.0,1.53,3.01,0.84,74.3,0.17,0.28,0.29
2014-03-05,28.72,37.29,19.7,23.61,0.42,0.92,2.13,0.24,85.4,0.17,0.28,0.29
2014-03-06,29.78,36.22,23.6,30.97,0.13,0.67,1.86,0.14,280.1,0.17,0.28,0.29
2014-03-07,29.23,37.1,23.81,31.95,1.74,1.31,1.76,0.68,359.3,0.2,0.28,0.29
2014-03-08,27.79,37.87,19.56,19.41,0.03,1.28,2.35,0.39,21.1,0.22,0.28,0.29
2014-03-09,26.38,36.05,17.02,14.0,0.0,2.24,3.98,1.22,40.2,0.19,0.28,0.29
2014-03-10,25.44,34.5,16.69,13.33,0.0,1.99,3.48,1.07,51.7,0.17,0.28,0.29
2014-03-11,25.11,35.15,15.66,10.92,0.0,1.96,3.14,0.86,48.8,0.17,0.28,0.29
2014-03-12,25.32,35.85,15.29,11.41,0.0,2.23,4.16,1.13,55.6,0.16,0.28,0.29
2014-03-13,25.94,36.34,16.25,13.18,0.0,1.99,4.07,1.08,63.8,0.15,0.27,0.29
2014-03-14,27.77,38.25,18.25,17.6,0.0,1.88,3.77,1.02,63.0,0.15,0.27,0.29
2014-03-15,29.75,39.0,21.14,23.77,0.0,1.83,3.51,0.39,73.1,0.15,0.27,0.29
2014-03-16,30.18,39.93,21.23,19.3,0.0,2.12,4.21,1.09,90.8,0.15,0.27,0.29
2014-03-17,30.05,39.74,20.87,20.13,0.02,1.82,3.21,1.03,108.9,0.15,0.27,0.29
2014-03-18,30.6,38.76,23.98,23.77,0.29,1.63,3.16,0.76,67.1,0.15,0.27,0.29
2014-03-19,28.76,38.58,19.89,16.5,0.0,1.99,3.49,0.7,66.8,0.15,0.27,0.29
